﻿"account_number";"account_businessno";"booking_date";"num_transaction_type";"prn";"currency_amount";"contra_accountno";"contra_bankcode";"contra_iban";"contra_bic";"contra_name";"contra_txtschl";"contra_txtschl_erg";"value_date";"transaction_description1";"datatextschl_erg";"transaction_currency_code";"currency_amount_in_txn_ccy";"account_currency_code";"country_code";"transaction_description2";"transaction_description3";"transaction_description4";"transaction_description5";"transaction_description6";"transaction_description7";"datatextschl";"leistungsart";"datenherkunft";"account_type_desc";"party_number";"ultimate_creditor";"ultimate_debitor";"transaction_reference_number";"empfaengername";"account_registration_name";"purpose_code_cat";"purpose_code"
"83490";"46814569507";"2021-01-18";"3";12345678;-6369.89;"4215611750";"68203244";"DE68682032444215611750";"WNWVDENFFJF";"Michel Grein Groth";" ";" ";"2021-01-18";"Illo ";57;"EUR";-6369.89;"EUR";"US";"o qua";"i at ";"apien";"e odi";" saep";". Fac";"1";74261056728;"OS";"0";9299909295;"Michel Grein Groth";"Michel Grein Groth";" ";"Michel Grein Groth";" ";" ";" "
"83490";"46814569507";"2021-01-18";"32";12345678;-17292.04;"5687261843";"59732867";"DE13597328675687261843";"AWQCDELX3N8";"Anto Mälzer";" ";" ";"2021-01-18";"Eum m";544;"EUR";-17292.04;"EUR";"US";" mini";"a ten";"tur q";"am pr";"viden";" poss";"95";42777942580;"OS";"0";9299909295;"Anto Mälzer";"Anto Mälzer";" ";"Anto Mälzer";" ";" ";" "
"83490";"46814569507";"2021-01-18";"51";12345678;-25255.91;"9555310057";"10050000";"DE89100500009555310057";"FGZODE23";"Gülay Löchel";" ";" ";"2021-01-18";"Amet ";886;"USD";-25255.91;"USD";"US";"t nih";"l qua";"i lab";"re re";" dolo";"emque";"13";51523870566;"KA";"P";9299909295;"Gülay Löchel";"Gülay Löchel";" ";"Gülay Löchel";" ";" ";" "
"83490";"46814569507";"2021-01-19";"65";12345678;-15662.58;"5844424226";"64568198";"DE85645681985844424226";"PUBBDEFRRXK";"Hans-Dieter Sorgatz B.Sc.";" ";" ";"2021-01-19";"Volup";823;"EUR";-15662.58;"EUR";"US";"uptat";"m eos";"repud";"andae";"susci";"it ul";"75";86755294317;"OS";"0";9299909295;"Hans-Dieter Sorgatz B.Sc.";"Hans-Dieter Sorgatz B.Sc.";" ";"Hans-Dieter Sorgatz B.Sc.";" ";" ";" "
"83490";"46814569507";"2021-01-19";"51";12345678;4977.24;"2311045472";"82335602";"DE34823356022311045472";"URQWDEFA3LQ";"Tibor Junck";" ";" ";"2021-01-19";"Quam ";59;"EUR";4977.24;"EUR";"US";"m mol";"stias";"ipsa ";"ugiat";"repre";"ender";"65";37816626601;"OS";"0";9299909295;"Tibor Junck";"Tibor Junck";" ";"Tibor Junck";" ";" ";" "
"83490";"46814569507";"2021-01-19";"19";12345678;6538.3;"9807518546";"44838697";"DE93448386979807518546";"TENNDEXC";"Hagen Jockel";" ";" ";"2021-01-19";"Sit v";888;"EUR";6538.3;"EUR";"US";" vita";" dign";"ssimo";" quib";"sdam ";"ed no";"27";56061060228;"OS";"3";9299909295;"Hagen Jockel";"Hagen Jockel";" ";"Hagen Jockel";" ";" ";" "
"83490";"46814569507";"2021-01-20";"3";12345678;-5018.9;"9610387404";"95425298";"DE21954252989610387404";"NECVDEQV";"Augusta Köster";" ";" ";"2021-01-20";"Accus";793;"EUR";-5018.9;"EUR";"US";"usamu";" elig";"ndi c";"mmodi";"esse ";"nim n";"55";76574272112;"OS";"1";9299909295;"Augusta Köster";"Augusta Köster";" ";"Augusta Köster";" ";" ";" "
"83490";"46814569507";"2021-01-20";"19";12345678;1800.36;"7454384021";"08630440";"DE92086304407454384021";"TAYDDERA";"Dr. Isabella Löffler";" ";" ";"2021-01-20";"Nesci";464;"EUR";1800.36;"EUR";"KG";"ciunt";"tempo";"e id ";"onseq";"atur ";"d. Qu";"36";88796575371;"OS";"0";9299909295;"Dr. Isabella Löffler";"Dr. Isabella Löffler";" ";"Dr. Isabella Löffler";" ";" ";" "
"83490";"46814569507";"2021-01-20";"19";12345678;-6874.74;"4379868301";"42069872";"DE82420698724379868301";"WAGGDEO2FC9";"Edelbert Dörschner";" ";" ";"2021-01-20";"Occae";961;"EUR";-6874.74;"EUR";"US";"aecat";" perf";"rendi";" aliq";"am. N";"que d";"96";97050919143;"OS";"4";9299909295;"Edelbert Dörschner";"Edelbert Dörschner";" ";"Edelbert Dörschner";" ";" ";" "
"83490";"46814569507";"2021-01-21";"5";12345678;11417.71;"6063572500";"23560718";"DE43235607186063572500";"FMFJDE000YQ";"Univ.Prof. Maurice Fritsch";" ";" ";"2021-01-21";"Simil";738;"EUR";11417.71;"EUR";"US";"iliqu";" volu";"tas m";"lliti";" ulla";". Opt";"31";20367209798;"KA";"P";9299909295;"Univ.Prof. Maurice Fritsch";"Univ.Prof. Maurice Fritsch";" ";"Univ.Prof. Maurice Fritsch";" ";" ";" "
"83490";"46814569507";"2021-01-21";"52";12345678;-7430.62;"9555310057";"10050000";"DE89100500009555310057";"AJKXDE5E";"Dipl.-Ing. Tatiana Ebert";" ";" ";"2021-01-21";"Aliqu";14;"EUR";-7430.62;"EUR";"US";"quam ";"speri";"res o";"tio i";"sto e";"ror o";"55";81486064937;"KA";"Z";9299909295;"Dipl.-Ing. Tatiana Ebert";"Dipl.-Ing. Tatiana Ebert";" ";"Dipl.-Ing. Tatiana Ebert";" ";" ";" "
"83490";"46814569507";"2021-01-21";"6";12345678;-981.45;"9555310057";"10050000";"DE89100500009555310057";"HMOMDEPNR6O";"Nadin Adler B.Eng.";" ";" ";"2021-01-21";"Quia ";548;"EUR";-981.45;"EUR";"US";"a ull";"m quo";" cupi";"itate";"tempo";"a. Co";"89";32298454083;"OS";"0";9299909295;"Nadin Adler B.Eng.";"Nadin Adler B.Eng.";" ";"Nadin Adler B.Eng.";" ";" ";" "
"83490";"46814569507";"2021-01-22";"61";12345678;6041.22;"9555310057";"10050000";"DE89100500009555310057";"ETYJDEG5";"Arzu Rädel-Gnatz";" ";" ";"2021-01-22";"Atque";895;"EUR";6041.22;"EUR";"US";"ue au";" even";"et. Q";"ae sa";"iente";"fugit";"32";74204444207;"OS";"9";9299909295;"Arzu Rädel-Gnatz";"Arzu Rädel-Gnatz";" ";"Arzu Rädel-Gnatz";" ";" ";" "
"83490";"46814569507";"2021-01-22";"19";12345678;7330.11;"9141407182";"21745959";"DE24217459599141407182";"SJJBDEZR";"Sylke Kitzmann-Klingelhöfer";" ";" ";"2021-01-22";"Repud";905;"EUR";7330.11;"EUR";"US";"udian";"ae mi";"us es";" corp";"ris. ";"inus ";"70";58562266805;"OS";"4";9299909295;"Sylke Kitzmann-Klingelhöfer";"Sylke Kitzmann-Klingelhöfer";" ";"Sylke Kitzmann-Klingelhöfer";" ";" ";" "
"83490";"46814569507";"2021-01-22";"65";12345678;-3921.72;"2035144056";"03853685";"DE23038536852035144056";"NIEEDEF9";"Svenja Schuchhardt";" ";" ";"2021-01-22";"Omnis";725;"EUR";-3921.72;"EUR";"US";"is al";"quam ";"olest";"ae om";"is. A";"et na";"67";39346754582;"US";"1";9299909295;"Svenja Schuchhardt";"Svenja Schuchhardt";" ";"Svenja Schuchhardt";" ";" ";" "
"18451";"52514404944";"2021-01-18";"65";12345678;991246.0;"9555310057";"10050000";"DE89100500009555310057";"UIKVDELE";"Toni Ladeck-Schwital";" ";" ";"2021-01-18";"HIGH ";780;"EUR";991246.0;"EUR";"US";"H VOL";"ME";"";"";"";"";"73";96838602151;"OS";"0";7378718045;"Toni Ladeck-Schwital";"Toni Ladeck-Schwital";" ";"Toni Ladeck-Schwital";" ";" ";" "
"18451";"52514404944";"2021-01-19";"3";12345678;10265.51;"9555310057";"10050000";"DE89100500009555310057";"TQBVDE8ZXOR";"Prof. Natalie Eckbauer";" ";" ";"2021-01-19";"Et re";769;"EUR";10265.51;"EUR";"US";"repud";"andae";"excep";"uri h";"rum. ";"olori";"61";43194412257;"KA";"G";7378718045;"Prof. Natalie Eckbauer";"Prof. Natalie Eckbauer";" ";"Prof. Natalie Eckbauer";" ";" ";" "
"18451";"52514404944";"2021-01-20";"61";12345678;946031.0;"5173965518";"75735827";"DE68757358275173965518";"BNBYDEO7";"Dipl.-Ing. Willi Eigenwillig B.Sc.";" ";" ";"2021-01-20";"HIGH ";791;"EUR";946031.0;"EUR";"US";"H VOL";"ME";"";"";"";"";"36";94431228828;"OS";"0";7378718045;"Dipl.-Ing. Willi Eigenwillig B.Sc.";"Dipl.-Ing. Willi Eigenwillig B.Sc.";" ";"Dipl.-Ing. Willi Eigenwillig B.Sc.";" ";" ";" "
"18451";"52514404944";"2021-01-21";"50";12345678;23100.89;"3786607324";"97095215";"DE78970952153786607324";"SZAJDE2S";"Magnus Jüttner";" ";" ";"2021-01-21";"Omnis";199;"EUR";23100.89;"EUR";"US";"is ad";"magni";" Exce";"turi ";"apien";"e arc";"74";77129551886;"OS";"0";7378718045;"Magnus Jüttner";"Magnus Jüttner";" ";"Magnus Jüttner";" ";" ";" "
"18451";"52514404944";"2021-01-22";"65";12345678;-3194.25;"1568290309";"89058682";"DE43890586821568290309";"YBTUDE15";"Kirstin Schmiedt";" ";" ";"2021-01-22";"Atque";713;"EUR";-3194.25;"EUR";"US";"ue co";"poris";"digni";"simos";"dolor";"mque ";"70";12645406092;"OS";"0";7378718045;"Kirstin Schmiedt";"Kirstin Schmiedt";" ";"Kirstin Schmiedt";" ";" ";" "
"14628";"52330840087";"2021-01-18";"51";12345678;5035.04;"9555310057";"10050000";"DE89100500009555310057";"CQEKDEECNFO";"Rouven Reising-Girschner";" ";" ";"2021-01-18";"Incid";281;"EUR";5035.04;"EUR";"US";"idunt";"nobis";"quos ";"b fug";"t eli";"endi ";"15";92839725260;"OS";"4";1500459579;"Rouven Reising-Girschner";"Rouven Reising-Girschner";" ";"Rouven Reising-Girschner";" ";" ";" "
"14628";"52330840087";"2021-01-18";"53";12345678;-18300.04;"2002475604";"41639189";"DE42416391892002475604";"MHSLDEE87VS";"Hüseyin Mende";" ";" ";"2021-01-18";"Sunt ";415;"EUR";-18300.04;"EUR";"US";"t arc";"itect";" atqu";" qui ";"ius e";" dolo";"26";71037792585;"OS";"3";1500459579;"Hüseyin Mende";"Hüseyin Mende";" ";"Hüseyin Mende";" ";" ";" "
"14628";"52330840087";"2021-01-18";"6";12345678;4363.39;"9555310057";"10050000";"DE89100500009555310057";"JXXWDE600VT";"Karl-Werner Huhn";" ";" ";"2021-01-18";"Paria";990;"EUR";4363.39;"EUR";"US";"iatur";"deser";"nt ni";"il qu";"busda";" maio";"5";25520951323;"OS";"4";1500459579;"Karl-Werner Huhn";"Karl-Werner Huhn";" ";"Karl-Werner Huhn";" ";" ";" "
"14628";"52330840087";"2021-01-19";"3";12345678;-3707.55;"3774579645";"67287739";"DE59672877393774579645";"QMJCDE2J";"Muzaffer Schmidtke";" ";" ";"2021-01-19";"Quo u";138;"EUR";-3707.55;"EUR";"US";" ulla";" fugi";" ipsa";" Ab q";"os hi";" cupi";"4";50429827500;"US";"4";1500459579;"Muzaffer Schmidtke";"Muzaffer Schmidtke";" ";"Muzaffer Schmidtke";" ";" ";" "
"14628";"52330840087";"2021-01-19";"19";12345678;15903.1;"2896388563";"18748252";"DE07187482522896388563";"ZMEVDEZD";"Josefa Heuser B.A.";" ";" ";"2021-01-19";"Aliqu";663;"EUR";15903.1;"EUR";"US";"quam ";"a bea";"ae cu";" nequ";".";"";"81";85485618481;"OS";"4";1500459579;"Josefa Heuser B.A.";"Josefa Heuser B.A.";" ";"Josefa Heuser B.A.";" ";" ";" "
"14628";"52330840087";"2021-01-19";"53";12345678;14552.03;"6210926278";"26449058";"DE89264490586210926278";"SKKHDEH77WD";"Dogan Hermann-Etzold";" ";" ";"2021-01-19";"Adipi";172;"JPY";14552.03;"JPY";"US";"pisci";"volup";"ate c";"nsequ";"ntur ";"ommod";"96";35108338562;"OS";"2";1500459579;"Dogan Hermann-Etzold";"Dogan Hermann-Etzold";" ";"Dogan Hermann-Etzold";" ";" ";" "
"14628";"52330840087";"2021-01-20";"52";12345678;9070.09;"0824787426";"49404260";"DE56494042600824787426";"KBCEDE13";"Patric Jessel-Junken";" ";" ";"2021-01-20";"Ratio";335;"EUR";9070.09;"EUR";"US";"ione ";"ius i";"sam a";"tem a";" quas";" nobi";"90";27957106047;"OS";"2";1500459579;"Patric Jessel-Junken";"Patric Jessel-Junken";" ";"Patric Jessel-Junken";" ";" ";" "
"14628";"52330840087";"2021-01-20";"51";12345678;-19590.72;"9617949572";"66989332";"DE73669893329617949572";"HMLCDEU2";"Dr. Cäcilia Seip";" ";" ";"2021-01-20";"Illum";298;"EUR";-19590.72;"EUR";"US";"um al";"as ex";"edita";"digni";"simos";" Fuga";"12";41525375879;"OS";"3";1500459579;"Dr. Cäcilia Seip";"Dr. Cäcilia Seip";" ";"Dr. Cäcilia Seip";" ";" ";" "
"14628";"52330840087";"2021-01-20";"19";12345678;-8251.3;"9555310057";"10050000";"DE89100500009555310057";"XGCJDES3";"Dr. Raimund Stey MBA.";" ";" ";"2021-01-20";"Commo";255;"EUR";-8251.3;"EUR";"US";"modi ";"ure v";"lupta";" in m";"iores";" In i";"17";92035334078;"OS";"1";1500459579;"Dr. Raimund Stey MBA.";"Dr. Raimund Stey MBA.";" ";"Dr. Raimund Stey MBA.";" ";" ";" "
"14628";"52330840087";"2021-01-21";"2";12345678;-4976.49;"3456689985";"50271590";"DE73502715903456689985";"ZMJNDE275WL";"Domenico Heinz";" ";" ";"2021-01-21";"Ratio";698;"EUR";-4976.49;"EUR";"US";"ione ";"ccaec";"ti co";"poris";"lauda";"tium ";"40";91946754218;"OS";"1";1500459579;"Domenico Heinz";"Domenico Heinz";" ";"Domenico Heinz";" ";" ";" "
"14628";"52330840087";"2021-01-21";"53";12345678;5372.16;"4556473471";"52101185";"DE65521011854556473471";"EDYBDEM1";"Gustav Schwital";" ";" ";"2021-01-21";"Aut e";445;"EUR";5372.16;"EUR";"US";" est ";"uisqu";"m ut ";"uaera";". Qua";" est ";"4";47257679254;"OS";"1";1500459579;"Gustav Schwital";"Gustav Schwital";" ";"Gustav Schwital";" ";" ";" "
"14628";"52330840087";"2021-01-21";"6";12345678;7481.46;"6521375627";"50889674";"DE55508896746521375627";"VSTMDEC7";"Antje Hesse";" ";" ";"2021-01-21";"Tempo";675;"EUR";7481.46;"EUR";"US";"pore ";"ed re";"um ac";"usant";"um im";"edit ";"51";18563520273;"KA";"Z";1500459579;"Antje Hesse";"Antje Hesse";" ";"Antje Hesse";" ";" ";" "
"14628";"52330840087";"2021-01-22";"2";12345678;-8220.83;"2529173725";"48163445";"DE92481634452529173725";"MXDHDEAX72L";"Valentin Mitschke MBA.";" ";" ";"2021-01-22";"Eum m";118;"EUR";-8220.83;"EUR";"US";" maxi";"e dic";"a atq";"e. Do";"ores ";"ommod";"71";38312785702;"OS";"1";1500459579;"Valentin Mitschke MBA.";"Valentin Mitschke MBA.";" ";"Valentin Mitschke MBA.";" ";" ";" "
"14628";"52330840087";"2021-01-22";"53";12345678;-13001.07;"0175382245";"98467005";"DE75984670050175382245";"OCRNDE2X";"Nuran Hartung";" ";" ";"2021-01-22";"Rerum";881;"EUR";-13001.07;"EUR";"DO";"um as";"erior";"s est";"incid";"nt at";"itaqu";"68";80696200905;"OS";"2";1500459579;"Nuran Hartung";"Nuran Hartung";" ";"Nuran Hartung";" ";" ";" "
"14628";"52330840087";"2021-01-22";"1";12345678;-6626.62;"9555310057";"10050000";"DE89100500009555310057";"SHIRDEL7";"Erkan Dussen van B.Sc.";" ";" ";"2021-01-22";"Nesci";511;"EUR";-6626.62;"EUR";"US";"ciunt";"et op";"io el";"gendi";" Vel ";"olest";"93";90698623199;"US";"9";1500459579;"Erkan Dussen van B.Sc.";"Erkan Dussen van B.Sc.";" ";"Erkan Dussen van B.Sc.";" ";" ";" "
"15772";"08139279488";"2021-01-18";"6";12345678;860740.0;"9555310057";"10050000";"DE89100500009555310057";"CIIQDEW2OO0";"Dr. Johan Hölzenbecher";" ";" ";"2021-01-18";"HIGH ";595;"EUR";860740.0;"EUR";"US";"H VOL";"ME";"";"";"";"";"70";19078992400;"US";"0";3024350357;"Dr. Johan Hölzenbecher";"Dr. Johan Hölzenbecher";" ";"Dr. Johan Hölzenbecher";" ";" ";" "
"15772";"08139279488";"2021-01-18";"61";12345678;-1154.45;"9555310057";"10050000";"DE89100500009555310057";"PMMIDE2BO92";"Karl Henck B.Sc.";" ";" ";"2021-01-18";"Conse";943;"EUR";-1154.45;"EUR";"US";"sequu";"tur a";"perio";"es si";"iliqu";" dolo";"61";24620464691;"KA";"G";3024350357;"Karl Henck B.Sc.";"Karl Henck B.Sc.";" ";"Karl Henck B.Sc.";" ";" ";" "
"15772";"08139279488";"2021-01-18";"19";12345678;7860.01;"9555310057";"10050000";"DE89100500009555310057";"AYEGDEEJCSA";"Univ.Prof. Guido Tröst";" ";" ";"2021-01-18";"Dolor";4;"EUR";7860.01;"EUR";"US";"oremq";"e atq";"e ape";"iam a";"imi e";"que. ";"97";18253211663;"OS";"1";3024350357;"Univ.Prof. Guido Tröst";"Univ.Prof. Guido Tröst";" ";"Univ.Prof. Guido Tröst";" ";" ";" "
"15772";"08139279488";"2021-01-19";"62";12345678;-2887.47;"0479143899";"64963842";"DE63649638420479143899";"LWTVDEQSP02";"Angelique Lehmann";" ";" ";"2021-01-19";"Unde ";996;"EUR";-2887.47;"EUR";"US";"e qua";"i est";"recus";"ndae.";"Harum";"nisi ";"87";98145449001;"OS";"0";3024350357;"Angelique Lehmann";"Angelique Lehmann";" ";"Angelique Lehmann";" ";" ";" "
"15772";"08139279488";"2021-01-19";"32";12345678;17125.21;"9555310057";"10050000";"DE89100500009555310057";"MUCCDEQNVGS";"Ernest Löffler";" ";" ";"2021-01-19";"Expli";223;"EUR";17125.21;"EUR";"US";"licab";" ad e";"eniet";" Enim";"ipsum";"inven";"36";15388244858;"OS";"0";3024350357;"Ernest Löffler";"Ernest Löffler";" ";"Ernest Löffler";" ";" ";" "
"15772";"08139279488";"2021-01-19";"19";12345678;4844.47;"0397931690";"99949365";"DE20999493650397931690";"AWTTDE8KC7C";"Evelyn Fröhlich";" ";" ";"2021-01-19";"Rerum";770;"EUR";4844.47;"EUR";"US";"um ne";"o fac";"re te";"pora.";"Asper";"atur ";"24";94062099116;"OS";"1";3024350357;"Evelyn Fröhlich";"Evelyn Fröhlich";" ";"Evelyn Fröhlich";" ";" ";" "
"15772";"08139279488";"2021-01-20";"6";12345678;-12143.22;"9555310057";"10050000";"DE89100500009555310057";"TKZQDEI1ZRL";"Ilija Killer B.A.";" ";" ";"2021-01-20";"Liber";695;"EUR";-12143.22;"EUR";"US";"ero d";"cimus";"lauda";"tium ";"uod. ";"nde o";"25";49706364292;"OS";"3";3024350357;"Ilija Killer B.A.";"Ilija Killer B.A.";" ";"Ilija Killer B.A.";" ";" ";" "
"15772";"08139279488";"2021-01-20";"4";12345678;-975.2;"1959877226";"90605587";"DE82906055871959877226";"YRTIDE5B";"Siegried Hethur";" ";" ";"2021-01-20";"Facil";207;"EUR";-975.2;"EUR";"US";"ilis ";"olupt";"tibus";"fuga ";"ulla ";"t ist";"98";63271381922;"OS";"9";3024350357;"Siegried Hethur";"Siegried Hethur";" ";"Siegried Hethur";" ";" ";" "
"15772";"08139279488";"2021-01-20";"51";12345678;6074.28;"7988479843";"44728770";"DE20447287707988479843";"AHVCDEHE89D";"Engin Scholz-Adolph";" ";" ";"2021-01-20";"Ipsum";928;"EUR";6074.28;"EUR";"US";"um vo";"uptas";"reici";"ndis ";"aepe ";"ed ea";"83";26942896031;"OS";"9";3024350357;"Engin Scholz-Adolph";"Engin Scholz-Adolph";" ";"Engin Scholz-Adolph";" ";" ";" "
"15772";"08139279488";"2021-01-21";"53";12345678;19692.27;"4801577144";"64067303";"DE38640673034801577144";"RCMFDEB2UZA";"Hanno Börner";" ";" ";"2021-01-21";"Volup";355;"JPY";19692.27;"JPY";"US";"uptat";"m asp";"rnatu";" dolo";"um as";"erior";"12";82031527025;"OS";"1";3024350357;"Hanno Börner";"Hanno Börner";" ";"Hanno Börner";" ";" ";" "
"15772";"08139279488";"2021-01-21";"3";12345678;2757.97;"8906648292";"29005271";"DE65290052718906648292";"RBZIDE5YNKJ";"Bodo Stiffel";" ";" ";"2021-01-21";"Recus";757;"EUR";2757.97;"EUR";"US";"usand";"e eum";"nostr";"m rem";"est s";"pient";"5";39890239228;"OS";"3";3024350357;"Bodo Stiffel";"Bodo Stiffel";" ";"Bodo Stiffel";" ";" ";" "
"15772";"08139279488";"2021-01-21";"6";12345678;8937.42;"5399403091";"06432899";"DE89064328995399403091";"UUILDEP4";"Mahmoud Schulz";" ";" ";"2021-01-21";"Fugit";158;"EUR";8937.42;"EUR";"US";"it qu";" quib";"sdam ";"am re";"ellat";" Nece";"76";79929467127;"US";"1";3024350357;"Mahmoud Schulz";"Mahmoud Schulz";" ";"Mahmoud Schulz";" ";" ";" "
"15772";"08139279488";"2021-01-22";"32";12345678;7171.41;"2333111837";"75721843";"DE38757218432333111837";"VLQPDEOF471";"Alida Henck";" ";" ";"2021-01-22";"Ipsam";431;"EUR";7171.41;"EUR";"US";"am ne";"ciunt";"quos.";"Aliqu";"d lab";"rum a";"23";51804212116;"OS";"4";3024350357;"Alida Henck";"Alida Henck";" ";"Alida Henck";" ";" ";" "
"15772";"08139279488";"2021-01-22";"50";12345678;-20871.99;"9000082803";"08424689";"DE17084246899000082803";"QIPWDEG3";"Irmi Aumann";" ";" ";"2021-01-22";"Quis ";299;"EUR";-20871.99;"EUR";"US";"s vol";"ptatu";" enim";"moles";"ias i";"sam q";"36";13456649082;"US";"0";3024350357;"Irmi Aumann";"Irmi Aumann";" ";"Irmi Aumann";" ";" ";" "
"15772";"08139279488";"2021-01-22";"3";12345678;-4196.45;"9555310057";"10050000";"DE89100500009555310057";"EZSEDEHE";"Prof. Lotti Schönland";" ";" ";"2021-01-22";"Venia";334;"EUR";-4196.45;"EUR";"US";"iam i";"sum v";"lupta";"ibus ";"lacea";". Sae";"41";17957468191;"OS";"0";3024350357;"Prof. Lotti Schönland";"Prof. Lotti Schönland";" ";"Prof. Lotti Schönland";" ";" ";" "
